"Data","Ora","Azione","Stazione","Elett.","Minuti","Consumo"
"<nobr>08/06/2017</nobr>","<nobr>15:25:41</nobr>","<nobr>12</nobr>","<nobr>Ospedale</nobr>","","",""
"<nobr>08/06/2017</nobr>","<nobr>01:40:43</nobr>","<nobr>24</nobr>","<nobr>Ospedale</nobr>","","<nobr>14</nobr>","<nobr>0,00</nobr>"
"<nobr>08/06/2017</nobr>","<nobr>01:26:22</nobr>","<nobr>12</nobr>","<nobr>P. Rosmini</nobr>","","",""
"<nobr>08/06/2017</nobr>","<nobr>01:00:01</nobr>","<nobr>12</nobr>","<nobr>P. Rosmini</nobr>","","",""
"<nobr>07/06/2017</nobr>","<nobr>14:53:33</nobr>","<nobr>24</nobr>","<nobr>Mart</nobr>","","<nobr>5</nobr>","<nobr>0,00</nobr>"
"<nobr>07/06/2017</nobr>","<nobr>14:48:36</nobr>","<nobr>12</nobr>","<nobr>Stazione FF.SS.</nobr>","","",""
"<nobr>06/06/2017</nobr>","<nobr>15:15:46</nobr>","<nobr>24</nobr>","<nobr>Mart</nobr>","","<nobr>4</nobr>","<nobr>0,00</nobr>"
"<nobr>06/06/2017</nobr>","<nobr>15:11:10</nobr>","<nobr>12</nobr>","<nobr>Stazione FF.SS.</nobr>","","",""
"<nobr>06/06/2017</nobr>","<nobr>14:45:51</nobr>","<nobr>24</nobr>","<nobr>Stazione Autocorriere</nobr>","","<nobr>10</nobr>","<nobr>0,00</nobr>"
"<nobr>06/06/2017</nobr>","<nobr>14:35:24</nobr>","<nobr>12</nobr>","<nobr>Piscina</nobr>","","",""
"<nobr>06/06/2017</nobr>","<nobr>14:34:54</nobr>","<nobr>24</nobr>","<nobr>Piscina</nobr>","","<nobr>1</nobr>","<nobr>0,00</nobr>"
"<nobr>06/06/2017</nobr>","<nobr>14:33:52</nobr>","<nobr>12</nobr>","<nobr>Piscina</nobr>","","",""
"<nobr>05/06/2017</nobr>","<nobr>08:54:51</nobr>","<nobr>24</nobr>","<nobr>P. Rosmini</nobr>","","<nobr>5</nobr>","<nobr>0,00</nobr>"
"<nobr>05/06/2017</nobr>","<nobr>08:49:45</nobr>","<nobr>12</nobr>","<nobr>Stazione FF.SS.</nobr>","","",""
"<nobr>31/05/2017</nobr>","<nobr>08:32:05</nobr>","<nobr>24</nobr>","<nobr>Mart</nobr>","","<nobr>5</nobr>","<nobr>0,00</nobr>"
"<nobr>31/05/2017</nobr>","<nobr>08:27:59</nobr>","<nobr>12</nobr>","<nobr>Stazione FF.SS.</nobr>","","",""
"<nobr>26/05/2017</nobr>","<nobr>20:07:57</nobr>","<nobr>24</nobr>","<nobr>Stazione FF.SS.</nobr>","","<nobr>30</nobr>","<nobr>0,00</nobr>"
"<nobr>26/05/2017</nobr>","<nobr>19:37:19</nobr>","<nobr>12</nobr>","<nobr>Ospedale</nobr>","","",""
"<nobr>26/05/2017</nobr>","<nobr>19:36:44</nobr>","<nobr>24</nobr>","<nobr>Ospedale</nobr>","","<nobr>5</nobr>","<nobr>0,00</nobr>"
"<nobr>26/05/2017</nobr>","<nobr>19:31:43</nobr>","<nobr>12</nobr>","<nobr>Via Paoli</nobr>","","",""
"<nobr>25/05/2017</nobr>","<nobr>20:58:49</nobr>","<nobr>24</nobr>","<nobr>Ospedale</nobr>","","<nobr>10</nobr>","<nobr>0,00</nobr>"
"<nobr>25/05/2017</nobr>","<nobr>20:48:19</nobr>","<nobr>12</nobr>","<nobr>Municipio</nobr>","","",""
"<nobr>18/05/2017</nobr>","<nobr>08:28:06</nobr>","<nobr>24</nobr>","<nobr>P. Rosmini</nobr>","","<nobr>3</nobr>","<nobr>0,00</nobr>"
"<nobr>17/05/2017</nobr>","<nobr>09:26:48</nobr>","<nobr>24</nobr>","<nobr>Via Paoli</nobr>","","<nobr>2</nobr>","<nobr>0,00</nobr>"
"<nobr>17/05/2017</nobr>","<nobr>09:24:38</nobr>","<nobr>12</nobr>","<nobr>Stazione FF.SS.</nobr>","","",""
